idle,"Bewegen Sie das Headset nach unten und nach oben bis der Text klar zu erkennen ist.

Wenn Sie fertig sind, können Sie die unten stehende Schaltfläche aufrufen."
otherIsGone,"Woops ... 
Es scheint so, als wäre die andere Person weg! 
Danke für Ihre Teilnahme!"
finished,"Wir hoffen, dass Sie die Erfahrung genossen haben.

Vielen Dank!"
systemFailure,"Es ist ein Fehler mit dem System aufgetreten. Bitte entfernen Sie Ihr Headset"
welcome,"Willkommen

Bitte nehmen Sie sich einen Moment Zeit, um ruhig zu atmen..."
waitForSerial,"Wait for serial..."
waitForOther,"Bitte Warten Sie einen Moment..."
