t01,22,male,right,0,False,right,00:04:522,incorrect
t01,22,male,right,1,False,left,00:12:487,correct
t01,22,male,right,2,False,right,00:28:962,incorrect
t01,22,male,right,3,False,left,00:00:629,correct
t01,22,male,right,4,False,right,00:00:837,incorrect
t01,22,female,right,0,False,left,00:01:106,correct
t01,22,female,right,1,True,left,00:00:684,correct
t01,22,female,right,2,True,left,00:13:956,correct
t01,22,female,right,3,True,left,00:00:558,correct
t01,22,female,right,4,True,right,00:00:757,incorrect
t01,22,female,right,5,True,left,00:00:772,correct
t01,22,female,right,6,True,left,00:00:617,correct
t01,22,female,right,7,True,left,00:00:393,correct
t01,22,female,right,8,True,left,00:00:628,correct
t01,22,female,right,9,True,right,00:16:294,correct
t01,22,female,right,0,False,right,00:00:936,incorrect
t01,22,female,right,1,False,right,00:00:531,incorrect
t01,22,female,right,0,False,right,00:00:530,incorrect
t01,22,female,right,1,False,left,00:00:574,correct
t01,22,female,right,0,False,right,00:00:557,incorrect
t01,22,female,right,1,False,right,00:00:504,incorrect
